Date (MM/DD/YYYY),Time (HH:MM),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code)
01/01/1988,01:00,0.0,A,7,-0.6,A,7,96,A,7,1027,A,7,0,A,7,0.0,A,7
01/01/1988,02:00,-0.6,A,7,-1.1,A,7,96,A,7,1027,A,7,110,A,7,2.1,A,7
01/01/1988,03:00,-0.6,A,7,-1.1,A,7,96,A,7,1027,A,7,0,A,7,0.0,A,7
01/01/1988,04:00,-1.7,A,7,-2.2,A,7,96,A,7,1027,A,7,0,A,7,0.0,A,7
01/01/1988,05:00,-1.7,A,7,-2.2,A,7,96,A,7,1027,A,7,30,A,7,2.1,A,7
01/01/1988,06:00,-1.7,A,7,-2.2,A,7,96,A,7,1027,A,7,0,A,7,0.0,A,7
01/01/1988,07:00,-1.1,A,7,-1.1,A,7,100,A,7,1028,A,7,0,A,7,0.0,A,7
01/01/1988,08:00,-0.6,A,7,-0.6,A,7,100,A,7,1028,A,7,360,A,7,3.1,A,7
01/01/1988,09:00,0.0,A,7,0.0,A,7,100,A,7,1029,A,7,70,A,7,2.1,A,7
01/01/1988,10:00,1.1,A,7,0.0,A,7,92,A,7,1029,A,7,100,A,7,2.6,A,7
01/01/1988,11:00,2.8,A,7,0.0,A,7,82,A,7,1029,A,7,0,A,7,0.0,A,7
01/01/1988,12:00,4.4,A,7,0.0,A,7,73,A,7,1028,A,7,180,A,7,3.1,A,7
01/01/1988,13:00,5.0,A,7,0.0,A,7,70,A,7,1028,A,7,160,A,7,3.1,A,7
01/01/1988,14:00,5.6,A,7,0.0,A,7,68,A,7,1027,A,7,140,A,7,2.1,A,7
01/01/1988,15:00,6.1,A,7,0.0,A,7,65,A,7,1026,A,7,60,A,7,2.1,A,7
01/01/1988,16:00,5.6,A,7,-0.6,A,7,65,A,7,1026,A,7,0,A,7,0.0,A,7
01/01/1988,17:00,5.6,A,7,-0.6,A,7,65,A,7,1025,A,7,270,A,7,3.1,A,7
01/01/1988,18:00,4.4,A,7,-1.1,A,7,68,A,7,1026,A,7,260,A,7,2.1,A,7
01/01/1988,19:00,4.4,A,7,-0.6,A,7,70,A,7,1026,A,7,0,A,7,0.0,A,7
01/01/1988,20:00,3.9,A,7,-1.7,A,7,67,A,7,1026,A,7,0,A,7,0.0,A,7
01/01/1988,21:00,3.9,A,7,-2.2,A,7,65,A,7,1026,A,7,180,A,7,3.1,A,7
01/01/1988,22:00,3.3,A,7,1.7,A,7,89,A,7,1026,A,7,0,A,7,0.0,A,7
01/01/1988,23:00,2.8,A,7,-0.6,A,7,79,A,7,1026,A,7,190,A,7,2.6,A,7
01/01/1988,24:00,3.9,A,7,3.3,A,7,96,A,7,1026,A,7,0,A,7,0.0,A,7
01/02/1988,01:00,3.3,A,7,3.3,A,7,100,A,7,1026,A,7,0,A,7,0.0,A,7
01/02/1988,02:00,3.3,A,7,3.3,A,7,100,A,7,1026,A,7,130,A,7,2.1,A,7
01/02/1988,03:00,3.9,A,7,3.3,A,7,96,A,7,1026,A,7,0,A,7,0.0,A,7
01/02/1988,04:00,3.3,A,7,2.8,A,7,96,A,7,1025,A,7,0,A,7,0.0,A,7
01/02/1988,05:00,3.3,A,7,3.3,A,7,100,A,7,1025,A,7,0,A,7,0.0,A,7
01/02/1988,06:00,3.9,A,7,3.9,A,7,100,A,7,1025,A,7,0,A,7,0.0,A,7
01/02/1988,07:00,3.3,A,7,3.3,A,7,100,A,7,1025,A,7,280,A,7,1.5,A,7
01/02/1988,08:00,3.9,A,7,3.9,A,7,100,A,7,1026,A,7,0,A,7,0.0,A,7
01/02/1988,09:00,5.0,A,7,5.0,A,7,100,A,7,1026,A,7,0,A,7,0.0,A,7
01/02/1988,10:00,5.0,A,7,3.9,A,7,93,A,7,1026,A,7,340,A,7,2.1,A,7
01/02/1988,11:00,7.8,A,7,5.6,A,7,86,A,7,1025,A,7,0,A,7,0.0,A,7
01/02/1988,12:00,8.3,A,7,6.1,A,7,86,A,7,1025,A,7,320,A,7,3.6,A,7
01/02/1988,13:00,7.2,A,7,3.3,A,7,77,A,7,1024,A,7,300,A,7,5.2,A,7
01/02/1988,14:00,6.7,A,7,3.9,A,7,83,A,7,1024,A,7,270,A,7,2.6,A,7
01/02/1988,15:00,6.7,A,7,3.3,A,7,80,A,7,1023,A,7,40,A,7,4.6,A,7
01/02/1988,16:00,6.1,A,7,4.4,A,7,89,A,7,1023,A,7,270,A,7,3.1,A,7
01/02/1988,17:00,6.1,A,7,2.8,A,7,80,A,7,1022,A,7,350,A,7,4.1,A,7
01/02/1988,18:00,6.1,A,7,2.8,A,7,80,A,7,1022,A,7,320,A,7,3.1,A,7
01/02/1988,19:00,6.1,A,7,1.7,A,7,74,A,7,1022,A,7,350,A,7,4.1,A,7
01/02/1988,20:00,6.1,A,7,-1.7,A,7,58,A,7,1022,A,7,350,A,7,3.1,A,7
01/02/1988,21:00,6.1,A,7,-1.1,A,7,60,A,7,1024,A,7,320,A,7,2.6,A,7
01/02/1988,22:00,7.2,A,7,6.1,A,7,93,A,7,1023,A,7,50,A,7,2.6,A,7
01/02/1988,23:00,6.7,A,7,6.1,A,7,96,A,7,1022,A,7,50,A,7,5.2,A,7
01/02/1988,24:00,6.1,A,7,6.1,A,7,100,A,7,1022,A,7,100,A,7,2.6,A,7
01/03/1988,01:00,7.2,A,7,6.7,A,7,96,A,7,1022,A,7,240,A,7,3.6,A,7
01/03/1988,02:00,6.1,A,7,6.1,A,7,100,A,7,1022,A,7,10,A,7,3.1,A,7
01/03/1988,03:00,6.1,A,7,6.1,A,7,100,A,7,1021,A,7,20,A,7,3.1,A,7
01/03/1988,04:00,6.7,A,7,6.1,A,7,96,A,7,1021,A,7,360,A,7,2.1,A,7
01/03/1988,05:00,6.7,A,7,6.1,A,7,96,A,7,1020,A,7,360,A,7,2.6,A,7
01/03/1988,06:00,6.7,A,7,6.1,A,7,96,A,7,1021,A,7,30,A,7,2.1,A,7
01/03/1988,07:00,6.1,A,7,5.0,A,7,93,A,7,1020,A,7,30,A,7,2.6,A,7
01/03/1988,08:00,6.1,A,7,6.1,A,7,100,A,7,1020,A,7,20,A,7,2.1,A,7
01/03/1988,09:00,6.7,A,7,6.1,A,7,96,A,7,1021,A,7,300,A,7,3.1,A,7
01/03/1988,10:00,6.7,A,7,6.1,A,7,96,A,7,1021,A,7,350,A,7,4.1,A,7
01/03/1988,11:00,7.2,A,7,6.1,A,7,93,A,7,1021,A,7,10,A,7,3.1,A,7
01/03/1988,12:00,7.8,A,7,6.7,A,7,93,A,7,1020,A,7,50,A,7,4.6,A,7
01/03/1988,13:00,7.2,A,7,7.2,A,7,100,A,7,1020,A,7,40,A,7,4.6,A,7
01/03/1988,14:00,7.2,A,7,6.1,A,7,93,A,7,1018,A,7,70,A,7,4.1,A,7
01/03/1988,15:00,7.8,A,7,7.2,A,7,96,A,7,1019,A,7,290,A,7,5.2,A,7
01/03/1988,16:00,6.1,A,7,5.6,A,7,96,A,7,1019,A,7,310,A,7,6.2,A,7
01/03/1988,17:00,6.1,A,7,5.6,A,7,96,A,7,1019,A,7,350,A,7,2.1,A,7
01/03/1988,18:00,6.1,A,7,6.1,A,7,100,A,7,1018,A,7,20,A,7,2.1,A,7
01/03/1988,19:00,6.7,A,7,6.1,A,7,96,A,7,1018,A,7,310,A,7,1.5,A,7
01/03/1988,20:00,5.6,A,7,5.0,A,7,96,A,7,1018,A,7,310,A,7,5.2,A,7
01/03/1988,21:00,5.6,A,7,5.6,A,7,100,A,7,1017,A,7,340,A,7,4.1,A,7
01/03/1988,22:00,6.1,A,7,6.1,A,7,100,A,7,1017,A,7,310,A,7,2.6,A,7
01/03/1988,23:00,6.1,A,7,5.6,A,7,96,A,7,1017,A,7,330,A,7,3.1,A,7
01/03/1988,24:00,6.7,A,7,6.1,A,7,96,A,7,1018,A,7,0,A,7,0.0,A,7
01/04/1988,01:00,6.7,A,7,6.1,A,7,96,A,7,1017,A,7,360,A,7,2.6,A,7
01/04/1988,02:00,6.7,A,7,6.1,A,7,96,A,7,1018,A,7,0,A,7,0.0,A,7
01/04/1988,03:00,6.7,A,7,6.1,A,7,96,A,7,1017,A,7,120,A,7,2.1,A,7
01/04/1988,04:00,6.7,A,7,6.7,A,7,100,A,7,1016,A,7,0,A,7,0.0,A,7
01/04/1988,05:00,6.7,A,7,6.1,A,7,96,A,7,1017,A,7,260,A,7,3.1,A,7
01/04/1988,06:00,6.1,A,7,5.6,A,7,96,A,7,1016,A,7,360,A,7,3.1,A,7
