Date (MM/DD/YYYY),Time (HH:MM),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code)
01/01/2000,01:00,-6.7,A,7,-16.7,A,7,41,A,7,865,A,7,310,A,7,3.1,A,7
01/01/2000,02:00,-4.4,A,7,-15.0,A,7,39,A,7,867,A,7,300,A,7,4.1,A,7
01/01/2000,03:00,-6.1,A,7,-15.0,A,7,45,A,7,866,A,7,330,A,7,2.6,A,7
01/01/2000,04:00,-6.7,A,7,-15.0,A,7,48,A,7,870,A,7,320,A,7,4.1,A,7
01/01/2000,05:00,-3.9,A,7,-15.6,A,7,35,A,7,867,A,7,300,A,7,4.1,A,7
01/01/2000,06:00,-6.1,A,7,-15.6,A,7,43,A,7,867,A,7,340,A,7,3.6,A,7
01/01/2000,07:00,-5.6,A,7,-14.4,A,7,46,A,7,868,A,7,350,A,7,3.6,A,7
01/01/2000,08:00,-3.3,A,7,-13.3,A,7,42,A,7,869,A,7,310,A,7,4.1,A,7
01/01/2000,09:00,1.7,A,7,-11.7,A,7,32,A,7,871,A,7,0,A,7,0.0,A,7
01/01/2000,10:00,5.0,A,7,-11.7,A,7,26,A,7,871,A,7,130,A,7,2.6,A,7
01/01/2000,11:00,7.2,A,7,-11.7,A,7,22,A,7,873,A,7,0,A,7,0.0,A,7
01/01/2000,12:00,9.4,A,7,-11.7,A,7,19,A,7,872,A,7,120,A,7,1.5,A,7
01/01/2000,13:00,9.4,A,7,-11.7,A,7,19,A,7,872,A,7,130,A,7,3.6,A,7
01/01/2000,14:00,10.0,A,7,-11.7,A,7,18,A,7,871,A,7,140,A,7,4.1,A,7
01/01/2000,15:00,11.7,A,7,-12.2,A,7,16,A,7,871,A,7,160,A,7,5.7,A,7
