Date (MM/DD/YYYY),Time (HH:MM),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code)
01/01/1999,01:00,2.8,E,9,1.9,E,9,94,A,7,1020,E,9,0,E,9,0.0,E,9
01/01/1999,02:00,0.2,E,9,0.2,E,9,100,A,7,1021,E,9,0,E,9,0.0,E,9
01/01/1999,03:00,-0.1,E,9,-0.6,E,9,96,A,7,1022,E,9,0,E,9,0.0,E,9
01/01/1999,04:00,0.1,E,9,-0.4,E,9,96,A,7,1022,E,9,0,E,9,0.0,E,9
01/01/1999,05:00,1.4,E,9,0.9,E,9,96,A,7,1023,E,9,0,E,9,0.0,E,9
01/01/1999,06:00,4.9,E,9,3.9,E,9,93,A,7,1023,E,9,290,E,9,4.6,E,9
01/01/1999,07:00,1.8,E,9,1.2,E,9,96,A,7,1024,E,9,0,E,9,0.0,E,9
01/01/1999,08:00,6.4,E,9,3.1,E,9,79,A,7,1024,E,9,310,E,9,2.7,E,9
01/01/1999,09:00,3.8,E,9,2.7,E,9,93,A,7,1025,E,9,240,E,9,1.1,E,9
01/01/1999,10:00,10.2,E,9,5.7,E,9,74,A,7,1026,E,9,40,E,9,3.4,E,9
01/01/1999,11:00,11.5,E,9,5.4,E,9,66,A,7,1026,E,9,70,E,9,3.8,E,9
01/01/1999,12:00,12.8,E,9,6.1,E,9,64,A,7,1025,E,9,100,E,9,6.7,E,9
01/01/1999,13:00,12.8,E,9,6.7,E,9,66,A,7,1024,E,9,100,E,9,7.2,E,9
01/01/1999,14:00,13.3,E,9,7.8,E,9,69,A,7,1023,E,9,90,E,9,7.2,E,9
01/01/1999,15:00,13.9,E,9,7.2,E,9,64,A,7,1023,E,9,90,E,9,6.7,E,9
01/01/1999,16:00,12.8,E,9,7.2,E,9,69,A,7,1023,E,9,100,E,9,5.7,E,9
01/01/1999,17:00,10.0,E,9,6.1,E,9,77,A,7,1023,E,9,140,E,9,2.1,E,9
01/01/1999,18:00,7.8,E,9,5.0,E,9,82,A,7,1023,E,9,70,E,9,1.5,E,9
01/01/1999,19:00,3.3,E,9,2.8,E,9,97,A,7,1023,E,9,0,E,9,0.0,E,9
01/01/1999,20:00,3.3,E,9,2.8,E,9,97,A,7,1023,E,9,0,E,9,0.0,E,9
01/01/1999,21:00,3.9,E,9,3.3,E,9,96,A,7,1023,E,9,0,E,9,0.0,E,9
01/01/1999,22:00,4.4,E,9,3.3,E,9,93,A,7,1022,E,9,30,E,9,2.1,E,9
01/01/1999,23:00,2.8,E,9,2.2,E,9,96,A,7,1023,E,9,10,E,9,1.5,E,9
01/01/1999,24:00,2.2,E,9,1.1,E,9,92,A,7,1023,E,9,30,E,9,2.1,E,9
01/02/1999,01:00,3.3,E,9,2.2,E,9,92,A,7,1023,E,9,0,E,9,0.0,E,9
01/02/1999,02:00,0.6,E,9,0.0,E,9,96,A,7,1024,E,9,0,E,9,0.0,E,9
01/02/1999,03:00,1.1,E,9,0.6,E,9,96,A,7,1024,E,9,0,E,9,0.0,E,9
01/02/1999,04:00,4.4,E,9,2.8,E,9,89,A,7,1023,E,9,20,E,9,2.1,E,9
01/02/1999,05:00,5.0,E,9,2.8,E,9,86,A,7,1023,E,9,90,E,9,4.1,E,9
01/02/1999,06:00,2.8,E,9,1.1,E,9,89,A,7,1023,E,9,0,E,9,0.0,E,9
01/02/1999,07:00,5.6,E,9,3.3,E,9,85,A,7,1023,E,9,110,E,9,5.2,E,9
01/02/1999,08:00,2.2,E,9,1.1,E,9,92,A,7,1023,E,9,20,E,9,1.5,E,9
01/02/1999,09:00,6.7,E,9,3.9,E,9,82,A,7,1023,E,9,60,E,9,1.5,E,9
01/02/1999,10:00,10.6,E,9,5.6,E,9,71,A,7,1023,E,9,100,E,9,5.7,E,9
01/02/1999,11:00,13.3,E,9,6.7,E,9,64,A,7,1023,E,9,80,E,9,4.1,E,9
01/02/1999,12:00,13.3,E,9,6.7,E,9,64,A,7,1022,E,9,100,E,9,6.2,E,9
01/02/1999,13:00,13.9,E,9,6.7,E,9,62,A,7,1022,E,9,90,E,9,8.8,E,9
01/02/1999,14:00,13.9,E,9,6.1,E,9,59,A,7,1021,E,9,90,E,9,7.7,E,9
01/02/1999,15:00,13.3,E,9,6.1,E,9,62,A,7,1019,E,9,80,E,9,7.7,E,9
01/02/1999,16:00,13.3,E,9,5.6,E,9,60,A,7,1022,E,9,90,E,9,7.2,E,9
01/02/1999,17:00,12.2,E,9,3.9,E,9,57,A,7,1022,E,9,100,E,9,5.7,E,9
01/02/1999,18:00,11.1,E,9,3.9,E,9,61,A,7,1022,E,9,90,E,9,4.1,E,9
01/02/1999,19:00,10.6,E,9,3.9,E,9,63,A,7,1022,E,9,0,E,9,0.0,E,9
01/02/1999,20:00,8.9,E,9,3.9,E,9,71,A,7,1021,E,9,70,E,9,3.1,E,9
