Date (MM/DD/YYYY),Time (HH:MM),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code)
01/01/1999,01:00,9.0,A,7,7.0,A,7,87,A,7,1020,E,9,0,A,7,0.0,A,7
01/01/1999,02:00,10.0,A,7,7.0,A,7,82,A,7,1020,E,9,130,A,7,2.6,A,7
01/01/1999,03:00,10.0,A,7,7.0,A,7,82,A,7,1021,E,9,140,A,7,2.6,A,7
01/01/1999,04:00,9.0,A,7,7.0,A,7,87,A,7,1020,E,9,130,A,7,2.1,A,7
01/01/1999,05:00,8.9,B,8,6.0,B,8,82,A,7,1021,E,9,100,B,8,2.4,B,8
01/01/1999,06:00,8.8,B,8,4.9,B,8,76,A,7,1020,E,9,80,B,8,2.8,B,8
01/01/1999,07:00,9.0,A,7,4.0,A,7,71,A,7,1021,E,9,50,A,7,3.1,A,7
01/01/1999,08:00,8.0,A,7,1.0,A,7,61,A,7,1021,E,9,240,A,7,1.5,A,7
01/01/1999,09:00,9.0,A,7,2.0,A,7,61,A,7,1022,E,9,40,A,7,2.1,A,7
01/01/1999,10:00,11.0,A,7,3.0,A,7,58,A,7,1023,E,9,220,A,7,2.6,A,7
01/01/1999,11:00,12.0,A,7,3.0,A,7,54,A,7,1023,E,9,240,A,7,2.6,A,7
01/01/1999,12:00,13.0,A,7,1.0,A,7,44,A,7,1022,E,9,270,A,7,2.6,A,7
01/01/1999,13:00,15.0,A,7,2.0,A,7,41,A,7,1021,E,9,280,A,7,3.6,A,7
01/01/1999,14:00,14.0,A,7,1.0,A,7,41,A,7,1021,E,9,280,A,7,3.1,A,7
01/01/1999,15:00,17.0,A,7,1.0,A,7,34,A,7,1021,E,9,290,A,7,4.1,A,7
01/01/1999,16:00,18.0,A,7,2.0,A,7,34,A,7,1021,E,9,300,A,7,5.1,A,7
01/01/1999,17:00,17.0,A,7,1.0,A,7,34,A,7,1022,E,9,320,A,7,4.1,A,7
01/01/1999,18:00,15.0,A,7,-2.0,A,7,30,A,7,1022,E,9,20,A,7,3.6,A,7
01/01/1999,19:00,15.0,A,7,-2.0,A,7,30,A,7,1023,E,9,10,A,7,3.6,A,7
01/01/1999,20:00,12.0,A,7,2.0,A,7,50,A,7,1023,E,9,300,A,7,3.6,A,7
01/01/1999,21:00,11.0,A,7,2.0,A,7,54,A,7,1023,E,9,10,A,7,1.5,A,7
01/01/1999,22:00,11.0,A,7,2.0,A,7,54,A,7,1023,E,9,310,A,7,1.5,A,7
