Date (MM/DD/YYYY),Time (HH:MM),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code)
01/01/1991,01:00,1.1,A,7,-2.1,A,7,78,A,7,1007,A,7,0,A,7,0.0,A,7
01/01/1991,02:00,2.8,A,7,-2.1,A,7,69,A,7,1007,A,7,90,A,7,2.6,A,7
01/01/1991,03:00,2.2,A,7,-2.7,A,7,68,A,7,1006,A,7,90,A,7,2.6,A,7
01/01/1991,04:00,1.1,A,7,-2.1,A,7,78,A,7,1005,A,7,90,A,7,2.1,A,7
01/01/1991,05:00,0.0,A,7,-2.7,A,7,80,A,7,1005,A,7,90,A,7,3.1,A,7
01/01/1991,06:00,0.6,A,7,-2.2,A,7,80,A,7,1006,A,7,60,A,7,3.1,A,7
01/01/1991,07:00,-0.6,A,7,-2.8,A,7,83,A,7,1006,A,7,40,A,7,3.1,A,7
01/01/1991,08:00,0.0,A,7,-2.8,A,7,79,A,7,1006,A,7,0,A,7,0.0,A,7
01/01/1991,09:00,3.3,A,7,-1.7,A,7,69,A,7,1006,A,7,130,A,7,2.1,A,7
01/01/1991,10:00,5.0,A,7,-1.7,A,7,61,A,7,1006,A,7,0,A,7,0.0,A,7
01/01/1991,11:00,7.2,A,7,-1.7,A,7,52,A,7,1006,A,7,240,A,7,2.6,A,7
01/01/1991,12:00,10.0,A,7,-1.7,A,7,43,A,7,1006,A,7,320,A,7,2.1,A,7
01/01/1991,13:00,11.7,A,7,-1.1,A,7,41,A,7,1005,A,7,190,A,7,2.1,A,7
01/01/1991,14:00,12.8,A,7,-0.6,A,7,39,A,7,1004,A,7,280,A,7,4.1,A,7
01/01/1991,15:00,12.2,A,7,-2.8,A,7,34,A,7,1004,A,7,280,A,7,4.1,A,7
01/01/1991,16:00,11.7,A,7,-1.7,A,7,39,A,7,1004,A,7,250,A,7,3.1,A,7
01/01/1991,17:00,10.0,A,7,-1.1,A,7,45,A,7,1003,A,7,260,A,7,2.6,A,7
01/01/1991,18:00,6.7,A,7,-1.1,A,7,57,A,7,1004,A,7,350,A,7,2.1,A,7
01/01/1991,19:00,4.4,A,7,-1.7,A,7,63,A,7,1004,A,7,20,A,7,2.6,A,7
01/01/1991,20:00,3.9,A,7,-1.7,A,7,66,A,7,1005,A,7,20,A,7,2.6,A,7
01/01/1991,21:00,2.8,A,7,-2.2,A,7,68,A,7,1004,A,7,40,A,7,3.1,A,7
